date,close,high,low,open,volume,ticker,sector
2024-05-09,328.1907653808594,328.72919255877076,320.10501782538915,320.454514083286,3801400,HD,Consumer Discretionary
2024-05-10,327.2367248535156,330.4294672581134,325.60259052732255,328.20965858981504,3413700,HD,Consumer Discretionary
2024-05-13,322.0697937011719,329.4660045528925,321.5408216731056,328.77643834671414,4055600,HD,Consumer Discretionary
2024-05-14,321.6352844238281,325.17752323906853,314.5508067933473,316.4872191482868,5854300,HD,Consumer Discretionary
2024-05-15,329.3526611328125,331.02458750840685,325.5931545529423,326.055997875871,4151100,HD,Consumer Discretionary
2024-05-16,323.7417297363281,328.95589463034713,323.68505622430274,328.7197453879707,3101600,HD,Consumer Discretionary
2024-05-17,325.1396789550781,325.8197898512118,321.7202429147536,325.65922452711294,2739000,HD,Consumer Discretionary
2024-05-20,319.103759765625,323.57168504675707,318.8392737634159,322.2303734737012,3237400,HD,Consumer Discretionary
2024-05-21,317.5262756347656,320.2183828488575,313.9179081780337,320.2183828488575,4275100,HD,Consumer Discretionary
2024-05-22,312.2742919921875,316.6761170939334,310.7062576474343,316.1188083709421,4024400,HD,Consumer Discretionary
2024-05-23,308.7793273925781,312.66160722854585,307.93862222509347,312.6427256661846,4021100,HD,Consumer Discretionary
2024-05-24,307.0885009765625,309.3933200415982,306.4461819130119,308.3070392197789,2736900,HD,Consumer Discretionary
2024-05-28,310.48907470703125,312.6521812856874,306.5028738380961,307.3624606483649,3807500,HD,Consumer Discretionary
2024-05-29,307.85357666015625,308.6848265377547,305.83212547355924,308.43922212115257,3506200,HD,Consumer Discretionary
2024-05-30,313.1040344238281,314.09325271927605,309.8034954912331,310.32665290016115,2921800,HD,Consumer Discretionary
2024-05-31,318.51611328125,318.80147974459993,311.9911456723087,313.93149829249876,5557800,HD,Consumer Discretionary
2024-06-03,311.9911804199219,317.35572800733775,310.8783062406039,317.35572800733775,3712800,HD,Consumer Discretionary
2024-06-04,312.22900390625,313.6842831989629,309.22332314585225,310.90687243672795,4296800,HD,Consumer Discretionary
2024-06-05,314.1313171386719,314.3215324528303,310.0032703704116,312.45725982169586,2422400,HD,Consumer Discretionary
2024-06-06,314.9302673339844,315.6341190949034,312.0387219214164,313.69373726291093,2979400,HD,Consumer Discretionary
2024-06-07,311.05902099609375,312.7616119132463,308.11040812497833,309.8225199665334,2583800,HD,Consumer Discretionary
2024-06-10,316.3189697265625,316.5472397056316,310.55492053738686,311.0305023452542,2691000,HD,Consumer Discretionary
2024-06-11,319.32464599609375,319.8858290386616,314.1883683447591,316.73747983455496,3250900,HD,Consumer Discretionary
2024-06-12,327.33343505859375,333.3733003244987,326.30616217868265,330.08228259899215,4793000,HD,Consumer Discretionary
2024-06-13,330.89080810546875,331.6612483232583,326.3157133693267,329.00749366908855,3380800,HD,Consumer Discretionary
2024-06-14,329.90155029296875,330.52932169657817,325.00306399269107,327.97068951723963,2589000,HD,Consumer Discretionary
2024-06-17,332.43170166015625,333.56358874621185,327.5807611523769,328.046851087772,2680200,HD,Consumer Discretionary
2024-06-18,336.5882568359375,339.0042204957005,334.9141996194454,335.7132025834689,3655000,HD,Consumer Discretionary
2024-06-20,336.17919921875,337.58693152064535,332.5172142710169,334.809521581015,3661200,HD,Consumer Discretionary
2024-06-21,338.4239807128906,338.85201592283425,334.8571173873871,337.51087182917996,6596400,HD,Consumer Discretionary
2024-06-24,333.7442626953125,340.22168398612905,333.5920730478657,339.4702566728628,4278900,HD,Consumer Discretionary
2024-06-25,321.7976379394531,330.0442091178169,318.1927201955332,329.3974249130836,4879600,HD,Consumer Discretionary
2024-06-26,325.1267395019531,325.8591250033963,321.046239646007,322.8819783754379,3365300,HD,Consumer Discretionary
2024-06-27,324.8128356933594,327.92315912037697,321.92131936273626,326.0873913839383,2912600,HD,Consumer Discretionary
2024-06-28,327.42852783203125,328.41774604158513,324.0709216957799,324.6796802946462,6344000,HD,Consumer Discretionary
2024-07-01,319.7716979980469,327.8185340520452,319.0107787170521,327.1242031906203,2643600,HD,Consumer Discretionary
2024-07-02,318.6112976074219,320.3804481111461,316.290455916558,318.63983135660413,2995900,HD,Consumer Discretionary
2024-07-03,317.3462219238281,323.0532032448466,317.25109976303617,320.5421175305386,1733000,HD,Consumer Discretionary
2024-07-05,318.24029541015625,319.51488014163067,315.44390121120273,316.46162417340327,3437500,HD,Consumer Discretionary
2024-07-08,323.01513671875,324.11848988357974,318.63977872779265,319.47680726850535,3534500,HD,Consumer Discretionary
2024-07-09,320.6277160644531,322.6917537301282,319.18195792510994,322.3968953532043,2254300,HD,Consumer Discretionary
2024-07-10,327.3714904785156,327.4761335717322,321.1318594017747,322.1020648796308,3263100,HD,Consumer Discretionary
2024-07-11,336.5121765136719,336.83556865281344,328.15144038324536,333.6491648030705,4146900,HD,Consumer Discretionary
2024-07-12,342.20013427734375,346.1760203760467,336.7975317376616,337.6630941382955,4019900,HD,Consumer Discretionary
2024-07-15,340.95404052734375,343.541206260048,337.6915568759894,341.6008537309234,2884000,HD,Consumer Discretionary
2024-07-16,351.093505859375,351.3788723577097,341.9433166073104,342.47596590488354,3210400,HD,Consumer Discretionary
2024-07-17,353.7282409667969,356.86706919890804,347.57421138626114,348.73463212566884,3991100,HD,Consumer Discretionary
2024-07-18,348.2019958496094,357.3902407098539,347.9166583494081,351.83544816397267,2395000,HD,Consumer Discretionary
2024-07-19,345.6147766113281,349.64772983702755,344.2736615380664,348.5348557018433,2474500,HD,Consumer Discretionary
2024-07-22,345.5101623535156,349.343350330169,343.4461246612216,346.699116800706,4049300,HD,Consumer Discretionary
2024-07-23,342.05743408203125,347.5836920318091,341.8291641168189,347.5836920318091,2535700,HD,Consumer Discretionary
2024-07-24,333.2021484375,343.7981258299629,332.90729001709036,341.4011747644241,3508100,HD,Consumer Discretionary
2024-07-25,336.0365905761719,341.306015929702,332.2699618855421,333.097498586126,3297600,HD,Consumer Discretionary
2024-07-26,341.9528503417969,344.0073672924891,337.67261395132397,337.67261395132397,2439000,HD,Consumer Discretionary
2024-07-29,344.0073547363281,345.1677754987009,341.4201885625402,341.6674713620162,2142100,HD,Consumer Discretionary
2024-07-30,345.9287109375,346.8798745895534,341.7150629254338,345.10120320456724,2788800,HD,Consumer Discretionary
2024-07-31,350.180419921875,354.2989458373725,345.3104665801204,347.17473924405834,3526100,HD,Consumer Discretionary
2024-08-01,341.0682067871094,353.3382395808318,336.4740996960923,351.9209861785931,3759000,HD,Consumer Discretionary
2024-08-02,338.0720520019531,338.2052288313795,329.80643846959134,337.5964702292152,3764600,HD,Consumer Discretionary
2024-08-05,332.9167785644531,336.6548445194214,328.3797096472052,333.7442862462329,3827900,HD,Consumer Discretionary
2024-08-06,336.6263122558594,341.1443393437343,330.32009296042986,331.7183046097659,2831100,HD,Consumer Discretionary
2024-08-07,325.67840576171875,338.8710400438738,325.56427077585005,337.8342752192878,3429100,HD,Consumer Discretionary
2024-08-08,331.3283386230469,331.7087982733162,324.6701931480966,325.52623461800516,3591100,HD,Consumer Discretionary
2024-08-09,331.6136779785156,334.36252557680467,328.53188830108763,330.9003053074679,2314800,HD,Consumer Discretionary
2024-08-12,328.9219055175781,334.33402910752693,325.4216301879049,333.6396691804947,3830200,HD,Consumer Discretionary
2024-08-13,332.9738464355469,336.13171653527087,322.79638436527364,325.17429335111234,6388600,HD,Consumer Discretionary
2024-08-14,338.2908020019531,342.12398961112393,332.33650941254734,332.4791781270911,4814800,HD,Consumer Discretionary
2024-08-15,342.4855041503906,347.5647145837576,340.6497652631572,344.758770191213,3575800,HD,Consumer Discretionary
2024-08-16,344.3782653808594,345.9381875032604,342.39033708624396,342.39033708624396,3308300,HD,Consumer Discretionary
2024-08-19,345.3389892578125,346.87986970810135,344.4163593672159,344.79681901724103,3634900,HD,Consumer Discretionary
2024-08-20,349.3338317871094,349.6857866887317,342.8944649070276,343.0371336362213,3459400,HD,Consumer Discretionary
2024-08-21,352.3680114746094,354.660318923866,350.522752017983,351.40735610702956,4587600,HD,Consumer Discretionary
2024-08-22,347.51708984375,354.2703566433214,346.80371720352497,353.35724779145136,4097300,HD,Consumer Discretionary
2024-08-23,357.24749755859375,357.9418573674247,347.35540290652733,348.7536144207441,3426200,HD,Consumer Discretionary
2024-08-26,355.83978271484375,360.09148495587146,355.13593097465656,358.66473962703276,2452100,HD,Consumer Discretionary
2024-08-27,354.95526123046875,356.00154710187593,352.881731338997,355.25011965415456,1780300,HD,Consumer Discretionary
2024-08-28,354.48919677734375,357.0763631666864,352.12080848577483,354.7840551980928,2218300,HD,Consumer Discretionary
2024-08-29,351.2546691894531,357.2451276266909,351.1302622194508,356.56567866798815,2698400,HD,Consumer Discretionary
2024-08-30,352.6326599121094,354.4604202155327,349.16853913316044,353.34078670900664,3216700,HD,Consumer Discretionary
2024-09-03,349.03460693359375,353.47482663076164,347.2738392202914,352.05854361628195,3598100,HD,Consumer Discretionary
2024-09-04,348.9676208496094,350.1733464215529,344.50827313458524,348.48915044074647,3221300,HD,Consumer Discretionary
2024-09-05,346.2690124511719,349.42690521032057,342.1828568029938,349.1876700254301,2789200,HD,Consumer Discretionary
2024-09-06,344.5465393066406,349.70446447507334,343.94369110568965,347.2929840607186,2228800,HD,Consumer Discretionary
2024-09-09,349.781005859375,350.3934620156013,344.5274099848522,347.1398689953204,2747600,HD,Consumer Discretionary
2024-09-10,354.90057373046875,355.56086511438923,346.87185687325666,349.95320693038184,2787400,HD,Consumer Discretionary
2024-09-11,354.5370178222656,355.2260164250484,346.5465848249956,353.6374910574238,2937700,HD,Consumer Discretionary
2024-09-12,358.30731201171875,358.8431964864611,354.60395604381523,355.92453892925664,2367700,HD,Consumer Discretionary
2024-09-13,363.6279296875,365.5513900641143,359.3408535413962,359.38868890057415,2514700,HD,Consumer Discretionary
2024-09-16,365.5609436035156,367.4652463423005,363.1877200409566,365.55136485093436,2877800,HD,Consumer Discretionary
2024-09-17,366.73797607421875,371.23560943256587,365.2451507900684,366.91979715914226,2947600,HD,Consumer Discretionary
2024-09-18,367.4748840332031,375.76199572438804,364.6614754533786,367.55142645558806,3549400,HD,Consumer Discretionary
2024-09-19,373.53228759765625,374.9964059288909,370.34568741915155,374.0107580222887,3753500,HD,Consumer Discretionary
2024-09-20,373.0729064941406,374.9580809383503,370.3360699689047,371.60878831589247,6584200,HD,Consumer Discretionary
2024-09-23,375.08251953125,375.74281104019866,370.58491515258254,374.0011717208409,2502300,HD,Consumer Discretionary
2024-09-24,383.40789794921875,383.8385037798281,376.68060540711394,377.7045390546436,4057700,HD,Consumer Discretionary
2024-09-25,379.8385009765625,383.40790063850807,378.5849108772483,383.40790063850807,2787300,HD,Consumer Discretionary
2024-09-26,379.618408203125,382.7763010050107,378.4604888660546,382.2978306287544,2849500,HD,Consumer Discretionary
2024-09-27,382.3265380859375,386.16387985267954,381.1590691985018,382.4413663037977,2452300,HD,Consumer Discretionary
2024-09-30,387.75244140625,387.8576908813302,381.8385247996829,382.9677371895071,3442000,HD,Consumer Discretionary
2024-10-01,391.4366149902344,392.8816049154208,384.12560260541966,386.6232040274415,3476200,HD,Consumer Discretionary
2024-10-02,393.5514831542969,393.74285379238256,387.522738586042,390.14477623910545,3431300,HD,Consumer Discretionary
2024-10-03,393.8576965332031,395.1878583132752,389.2835205040807,391.38880202523194,3320700,HD,Consumer Discretionary
2024-10-04,390.7763671875,394.0874036880511,382.2500495705558,392.41275713327326,3989000,HD,Consumer Discretionary
2024-10-07,390.4892578125,392.1639042009242,383.962914592769,387.4557718514374,3267800,HD,Consumer Discretionary
2024-10-08,396.345703125,397.4079225173279,390.8528726995698,392.1542980700287,3693900,HD,Consumer Discretionary
2024-10-09,398.15435791015625,401.9438352273658,393.0634259444665,401.9151281720656,3627800,HD,Consumer Discretionary
2024-10-10,392.3074645996094,396.63285595292564,390.07780525779816,392.07780813961637,3040800,HD,Consumer Discretionary
